>>> roachprod start: Thu Sep 10 20:53:04 UTC 2020
  PID COMMAND
  130 [bioset]
  131 [bioset]
  132 [bioset]
  133 [bioset]
  134 [bioset]
  135 [bioset]
  136 [bioset]
  138 [bioset]
  139 [bioset]
  140 [bioset]
  141 [bioset]
  142 [bioset]
  143 [bioset]
  144 [bioset]
  145 [bioset]
  146 [bioset]
  147 [bioset]
  148 [kworker/5:1]
  152 [ipv6_addrconf]
  165 [deferwq]
  166 [kworker/9:1]
  203 [nvme]
  204 [kworker/u32:2]
  227 [ena]
  281 [kworker/2:1]
  283 [kworker/12:1]
  284 [kworker/6:1]
  285 [kworker/11:1]
  286 [kworker/3:1]
  287 [bioset]
  288 [bioset]
  292 [kworker/14:1]
  296 [bioset]
  297 [bioset]
  307 [kworker/15:1]
  311 [kworker/1:1]
  312 [kworker/8:1]
  313 [kworker/10:1]
  373 [raid5wq]
  400 [bioset]
  421 [jbd2/nvme0n1p1-]
  422 [ext4-rsv-conver]
  482 [kworker/10:2]
  510 [iscsi_eh]
  512 /lib/systemd/systemd-journald
  514 [ib_addr]
  515 [ib_mcast]
  516 [ib_nl_sa_wq]
  517 [ib_cm]
  518 [iw_cm_wq]
  519 [rdma_cm]
  529 [kauditd]
  553 /sbin/lvmetad -f
  579 /lib/systemd/systemd-udevd
  830 [kworker/14:2]
  885 [kworker/0:1H]
  886 [kworker/1:1H]
  887 [kworker/2:1H]
  888 [kworker/3:1H]
  889 [kworker/8:1H]
  890 [kworker/9:1H]
  891 [kworker/10:1H]
  892 [kworker/11:1H]
 1006 [kworker/4:1H]
 1017 /lib/systemd/systemd-timesyncd
 1107 [kworker/0:3]
 1109 [kworker/4:2]
 1139 /sbin/dhclient -1 -v -pf /run/dhclient.ens5.pid -lf /var/lib/dhcp/dhclient.ens5.leases -I -df /var/lib/dhcp/dhclient6.ens5.leases ens5
 1267 /sbin/iscsid
 1268 /sbin/iscsid
 1274 /usr/lib/accountsservice/accounts-daemon
 1276 /usr/sbin/atd -f
 1280 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
 1283 /usr/sbin/rsyslogd -n
 1285 /usr/bin/lxcfs /var/lib/lxcfs/
 1290 /usr/sbin/cron -f
 1328 /lib/systemd/systemd-logind
 1330 /usr/sbin/acpid
 1345 /usr/lib/snapd/snapd
 1366 /usr/lib/policykit-1/polkitd --no-debug
 1368 /sbin/mdadm --monitor --pid-file /run/mdadm/monitor.pid --daemonise --scan --syslog
 1379 [kworker/6:1H]
 1430 /usr/sbin/irqbalance --pid=/var/run/irqbalance.pid
 1438 /sbin/agetty --keep-baud 115200 38400 9600 ttyS0 vt220
 1439 /sbin/agetty --noclear tty1 linux
 1468 [kworker/12:1H]
 1469 [kworker/14:1H]
 1628 [kworker/15:1H]
 1703 [kworker/5:1H]
 1704 [kworker/7:1H]
 1705 [kworker/13:1H]
 1763 [kworker/6:2]
 1766 [kworker/2:3]
 1859 [kworker/1:3]
 1860 [kworker/11:2]
 2278 [kworker/7:3]
 2325 [kworker/13:2]
 2516 [kworker/5:3]
 2660 [jbd2/nvme1n1-8]
 2661 [ext4-rsv-conver]
 2718 [kworker/9:2]
 3842 /usr/sbin/chronyd
 4279 [kworker/3:3]
 4328 [kworker/8:3]
 4375 [kworker/4:3]
 5021 /usr/sbin/sshd -D
 5309 [kworker/5:0]
 5351 [kworker/0:1]
 5374 [kworker/4:0]
 5375 [kworker/15:2]
 5720 [kworker/9:0]
 5721 [kworker/9:3]
 5757 [kworker/1:0]
 5758 [kworker/1:2]
 5762 [kworker/2:0]
 5763 [kworker/2:2]
 5769 [kworker/6:0]
 5774 [kworker/u32:0]
 5776 [kworker/2:4]
 5839 sshd: ubuntu [priv]
 5842 [kworker/13:1]
 5847 [kworker/3:0]
 5848 /lib/systemd/systemd --user PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin NOTIFY_SOCKET=/run/systemd/notify HOME=/home/ubuntu LOGNAME=ubuntu USER=ubuntu SHELL=/bin/bash XDG_RUNTIME_DIR=/run/user/1000
 5850 (sd-pam)
 5884 sshd: ubuntu@notty
 5885 bash -c  ??ulimit -c unlimited; mkdir -p ${HOME}/logs; ??echo ">>> roachprod start: $(date)" >> ${HOME}/logs/roachprod.log; ??ps axeww -o pid -o command >> ${HOME}/logs/roachprod.log; ??[ -x /usr/bin/lslocks ] && /usr/bin/lslocks >> ${HOME}/logs/roachprod.log;  ??export ROACHPROD=4; ??GOTRACEBACK=crash COCKROACH_SKIP_ENABLING_DIAGNOSTIC_REPORTING=1 COCKROACH_DEV_LICENSE=crl-0-EJL04ukFGAEiI0NvY2tyb2FjaCBMYWJzIC0gUHJvZHVjdGlvbiBUZXN0aW5n COCKROACH_ENABLE_RPC_COMPRESSION=false \ ??./cockroach start --background --insecure --store=path=/mnt/data1/cockroach --log-dir=${HOME}/logs --cache=25% --max-sql-memory=25% --port=26257 --http-port=26258 --locality=cloud=aws,region=us-east-2,zone=us-east-2b --join=18.191.252.183:26257 --advertise-host=$(hostname -I | awk '{print $1}') >> ${HOME}/logs/cockroach.stdout.log \ ??                 2>> ${HOME}/logs/cockroach.stderr.log \ ???|| (x=$?; cat ${HOME}/logs/cockroach.stderr.log; exit $x) LANG=en_US.UTF-8 LC_ADDRESS=en_US.UTF-8 LC_IDENTIFICATION=en_US.UTF-8 LC_MEASUREMENT=en_US.UTF-8 LC_MONETARY=en_US.UTF-8 LC_NAME=en_US.UTF-8 LC_NUMERIC=en_US.UTF-8 LC_PAPER=en_US.UTF-8 LC_TELEPHONE=en_US.UTF-8 LC_TIME=en_US.UTF-8 USER=ubuntu LOGNAME=ubuntu HOME=/home/ubuntu PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games MAIL=/var/mail/ubuntu SHELL=/bin/bash SSH_CLIENT=149.248.186.137 35172 22 SSH_CONNECTION=149.248.186.137 35172 10.12.21.82 22 XDG_SESSION_ID=68 XDG_RUNTIME_DIR=/run/user/1000
 5889 ps axeww -o pid -o command LC_PAPER=en_US.UTF-8 XDG_SESSION_ID=68 LC_ADDRESS=en_US.UTF-8 LC_MONETARY=en_US.UTF-8 SHELL=/bin/bash SSH_CLIENT=149.248.186.137 35172 22 LC_NUMERIC=en_US.UTF-8 USER=ubuntu LC_TELEPHONE=en_US.UTF-8 MAIL=/var/mail/ubuntu PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games LC_IDENTIFICATION=en_US.UTF-8 PWD=/home/ubuntu LANG=en_US.UTF-8 LC_MEASUREMENT=en_US.UTF-8 SHLVL=1 HOME=/home/ubuntu LOGNAME=ubuntu SSH_CONNECTION=149.248.186.137 35172 10.12.21.82 22 XDG_RUNTIME_DIR=/run/user/1000 LC_TIME=en_US.UTF-8 LC_NAME=en_US.UTF-8 _=/bin/ps
COMMAND           PID  TYPE SIZE MODE  M START END PATH
lvmetad           553 POSIX   0B WRITE 0     0   0 /run
iscsid           1268 POSIX   0B WRITE 0     0   0 /run
cron             1290 FLOCK   0B WRITE 0     0   0 /run
lxcfs            1285 POSIX   0B WRITE 0     0   0 /run
atd              1276 POSIX   0B WRITE 0     0   0 /run
